Intent,Utterances
greet,0
ask_available_colors,0
ask_delivery_time,0
ask_fit_style,0
ask_styling_advice,0
search_by_occasion,0
ask_reviews,0
ask_sizing_advice,0
ask_product_care,0
report_order_error,0
request_exchange_item,0
report_quality_issue,0
request_policy_exception,0
request_stock_notification_conditional,0
check_discount_logic,0
ask_product_comparison_contextual,0
open_ended_query,0
ask_advice,0
ask_general_question,0
inform,0
inform_size,0
inform_color,0
inform_quantity,0
inform_cancel_reason,0
request_human,0
ask_promotions,0
ask_material,0
goodbye,0
ask_size_guide,0
search_product,0
ask_product_price,0
check_product_availability,0
ask_product_details,0
add_to_cart,0
view_cart,0
remove_from_cart,0
track_order,0
check_delivery_status,0
cancel_order,0
modify_order,0
ask_shipping_policy,0
ask_return_policy,0
ask_payment_methods,0
ask_warranty,0
ask_recommendation,0
compare_products,0
create_support_ticket,0
ask_contact_info,0
bot_challenge,0
thank_you,0
affirm,0
deny,0
search_by_price,0
